Datum,Argentinierstrasse,Donaukanal ,Langobardenstrasse,Lassallestrasse,Liesingbach,Neubaugürtel,Opernring Innen,Opernring Aussen,Wienzeile,Margaritensteg,Operngasse ,Praterstern
20140101,234,277,68,377,99,235,478,231,242,154,436,522
20140102,548,327,167,629,155,655,1030,434,289,289,1047,908
20140103,608,396,180,762,149,657,1090,436,346,340,1172,992
20140104,360,207,129,306,82,437,631,289,180,251,721,510
20140105,320,235,95,428,123,373,600,247,210,233,604,527
20140106,442,479,159,1027,296,557,984,398,414,394,859,969
20140107,1251,541,265,994,187,1084,1732,876,472,572,2434,1410
20140108,1193,600,228,998,193,1078,1759,898,519,593,2519,1469
20140109,1277,535,214,949,190,1025,1814,906,465,585,2544,1396
20140110,1157,476,230,884,181,1017,1730,826,414,635,2261,1322
20140111,597,410,141,631,157,718,1092,439,357,495,1138,797
20140112,520,526,133,702,254,604,985,429,458,371,932,875
20140113,1321,579,219,1096,187,1122,1780,947,504,629,2479,1427
20140114,1286,540,204,1028,165,1018,1766,915,469,627,2505,1397
20140115,1329,559,232,1028,187,1106,2017,959,487,689,2628,1530
20140116,1276,533,205,1010,178,1122,1914,953,465,622,2503,1461
20140117,1117,559,202,967,193,1070,1820,877,487,602,2298,1401
20140118,492,298,92,487,94,604,855,411,259,379,973,660
20140119,534,552,150,846,238,581,1026,389,485,418,969,996
20140120,1191,559,208,922,183,934,1640,811,483,578,2346,1335
20140121,1109,366,138,757,123,774,1401,689,319,476,2084,1038
20140122,1235,415,202,840,130,908,1686,781,359,563,2314,1233
20140123,1185,447,169,864,128,935,1616,798,390,566,2330,1276
20140124,980,402,151,633,126,800,1065,513,348,447,1819,987
20140125,425,246,84,299,89,446,594,340,214,256,764,523
20140126,221,155,56,187,50,240,1280,168,133,149,409,331
20140127,558,226,127,483,36,424,1463,406,199,261,1207,739
20140128,713,250,124,587,71,557,1048,500,219,367,1482,858
20140129,765,283,174,564,55,580,958,512,245,313,1439,840
20140130,746,287,131,550,60,640,1101,586,250,345,1499,882
20140131,637,247,132,520,44,556,901,482,215,278,1240,751
20140201,252,94,35,177,27,319,367,194,84,163,498,292
20140202,141,74,44,117,15,198,230,145,68,88,304,184
20140203,502,206,94,404,16,445,673,387,182,205,1063,623
20140204,616,281,100,486,11,491,797,462,244,327,1266,799
20140205,649,266,108,529,15,543,853,473,233,355,1267,817
20140206,685,371,127,685,43,569,972,488,321,372,1430,891
20140207,660,329,144,592,78,615,968,508,287,349,1314,880
20140208,370,353,137,526,113,510,760,354,310,410,806,627
20140209,177,108,64,208,63,258,303,135,97,106,375,302
20140210,1117,506,236,987,170,911,1394,757,439,557,2003,1266
20140211,1035,346,191,823,115,871,1467,700,419,519,1979,1226
20140212,678,199,92,520,83,590,856,451,251,342,1279,781
20140213,1125,524,222,1107,197,972,1699,764,501,601,2247,1465
20140214,1017,402,221,983,164,887,1533,720,493,567,1958,1261
20140215,545,852,225,755,235,620,990,459,404,464,1063,936
20140216,412,514,117,505,131,403,632,320,232,253,584,617
20140217,1165,399,259,1019,165,947,1467,810,467,574,2068,1403
20140218,1283,466,210,1058,186,1073,1607,854,483,567,2332,1459
20140219,1062,324,192,830,148,831,1236,721,426,457,1881,1158
20140220,1328,658,266,1222,219,1041,1951,960,580,725,2464,1610
20140221,1201,694,276,1283,257,1111,1872,897,609,690,2194,1578
20140222,509,372,86,439,121,564,819,416,287,386,971,620
20140223,661,1452,231,1428,399,664,1568,523,833,630,1146,1389
20140224,1398,713,329,1549,326,1305,1627,1313,681,825,2678,1878
20140225,1458,780,317,1561,324,1382,1686,1499,748,888,2940,1988
20140226,1350,534,295,1262,199,1173,1417,1273,552,651,2668,1651
20140227,1355,616,283,1240,257,1265,1533,1398,640,752,2654,1744
20140228,1284,588,285,1325,269,1121,1408,1238,586,757,2399,1604
20140301,783,1153,220,1063,362,885,1439,576,630,733,1414,1250
20140302,732,1393,262,1382,460,749,1531,644,732,696,1310,1438
20140303,1404,490,263,1241,228,1190,1901,1133,584,730,2745,1676
20140304,1108,363,214,1002,107,1049,1578,799,412,562,2170,1416
20140305,1599,756,305,1495,305,1586,2348,1212,717,939,3290,2079
20140306,1335,414,225,1127,181,1238,1861,1061,511,673,2702,1618
20140307,1298,671,298,1256,252,1308,1975,1055,592,721,2677,1761
20140308,927,1428,272,1374,468,1139,1955,828,765,1029,1836,1581
20140309,936,2097,403,2260,903,1155,2123,791,1177,1013,1758,2147
20140310,1839,815,403,1719,350,1624,2868,1494,841,1060,3734,2281
20140311,1986,1147,446,2211,436,1844,3297,1650,994,1359,4141,2767
20140312,2048,1164,426,2256,460,1816,3326,1664,1041,1349,4168,2787
20140313,2105,1206,479,2245,454,1962,3536,1733,1093,1464,4536,2805
20140314,1975,1752,599,2612,639,2012,3612,1747,1144,1458,4205,3015
20140315,417,536,88,411,93,672,768,419,235,463,943,677
20140316,320,189,53,257,39,367,490,267,142,318,612,436
20140317,1711,664,347,1440,208,1452,2624,1315,706,1010,3683,2027
20140318,2231,1342,486,2405,507,2003,3739,1790,1110,1365,4618,2935
20140319,1670,521,339,1474,278,1418,2341,1268,647,795,3388,1948
20140320,2333,1505,579,2670,734,2193,4061,1968,1256,1540,4835,3227
20140321,2154,1880,582,2923,748,2315,4184,1817,1402,1648,4412,3245
20140322,1416,2955,482,3164,1043,1710,3365,1318,1543,1478,2702,2881
20140323,400,365,131,453,93,445,647,329,191,277,691,590
20140324,1170,292,178,916,149,1017,1710,998,408,642,2625,1368
20140325,1795,732,326,1571,292,1642,2679,1443,745,1000,3616,2122
20140326,1945,963,407,1941,377,1825,3275,1646,886,1157,4125,2517
20140327,2067,1058,463,2162,414,2001,3685,1861,974,1226,4437,2809
20140328,1993,1433,569,2294,622,2081,3850,1746,1158,1416,4103,2840
20140329,1320,2517,508,3044,984,1684,3367,1366,1387,1432,2847,2772
20140330,1425,3220,757,4352,1405,1513,3671,1259,1744,1548,2584,3492
20140331,2333,1255,607,2609,594,2164,3936,1906,1194,1478,4636,3099
20140401,2422,1488,612,2768,646,2348,4224,2135,1371,1658,5273,3505
20140402,2478,1378,609,2763,586,2351,4511,2177,1203,1677,5328,3431
